summary,grade,review
"상품명: 05.블럭ST 반팔세트 / 사이즈: L(100~105)
사이즈잘 맞아요착용감편해요원단보통이에요",5,한달사용기부드럽고 순면 100%여서 착용감도 좋고 사이즈도 정사이즈 입니다. 항상 이 제품만 착용합니다
"상품명: 12.클래식블루 반팔세트 / 사이즈: XL(105.5~110)
사이즈잘 맞아요착용감편해요원단보통이에요",5,소재 시원하거 너무 좋아요~
"상품명: 03.셰퍼드체크 반팔세트 / 사이즈: XL(105.5~110)
사이즈잘 맞아요착용감편해요원단보통이에요",5,소재 시원하고 너무 좋아여~
"상품명: 05.블럭ST 반팔세트 / 사이즈: XL(105.5~110)
사이즈잘 맞아요착용감편해요원단보통이에요",5,한달사용기빨았어도 뻣빳함감 없이 아주 편안한 잠옷입니다. 강추입니다
"상품명: 04.오리엔탈 반팔세트 / 사이즈: L(100~105)
사이즈잘 맞아요착용감편해요원단보통이에요",5,"디자인이 예쁘고 구김이 잘가지않으면서 부드러워요
재구매의사있어요"
"상품명: 15.마이펫 반팔세트 / 사이즈: XL(105.5~110)
원단부드러워요사이즈잘 맞아요착용감편해요",5,재구매옷도 편하고 딱 좋네요^^ 굿
"상품명: 08.리본오리 반팔세트 / 사이즈: XL(105.5~110)
원단부드러워요사이즈잘 맞아요착용감편해요",5,재구매옷도 편하고 딱 좋네요^^
"상품명: 02.페인체크 반팔세트 / 사이즈: L(100~105)
체형158cm상의 S원단부드러워요사이즈잘 맞아요착용감편해요",5,또구매 하네요 담에 또주문 할께요
"상품명: 10.진퍼플ST 반팔세트 / 사이즈: L(100~105)
원단부드러워요사이즈잘 맞아요착용감편해요",5,아이들이  편하게 잘입어요 3번째 제구매 합니다
"상품명: 09.네이비ST 반팔세트 / 사이즈: L(100~105)
사이즈잘 맞아요착용감편해요원단보통이에요",5,한달사용기편안하게 집에서 입기 좋아요
"상품명: 14.테디베어 반팔세트 / 사이즈: XL(105.5~110)
원단부드러워요사이즈잘 맞아요착용감편해요",5,한달사용기부드럽고 편해요 ~ 만족합니다 !
"상품명: 12.클래식블루 반팔세트 / 사이즈: L(100~105)
사이즈잘 맞아요착용감편해요원단보통이에요",4,한달사용기부모님 사드렸는데 잘 입고 계신다네요
"상품명: 07.퍼플블루ST 반팔세트 / 사이즈: XL(105.5~110)
원단부드러워요사이즈잘 맞아요착용감아주 편해요",5,잘맞고좋아요  마니파세요
"상품명: 10.진퍼플ST 반팔세트 / 사이즈: XL(105.5~110)
원단부드러워요사이즈잘 맞아요착용감편해요",4,한달사용기착용감은 좋으니ㆍ 천이 얇아 좀 그래요
"상품명: 04.오리엔탈 반팔세트 / 사이즈: XL(105.5~110)
사이즈잘 맞아요착용감편해요원단보통이에요",5,남편이 평소 105 사이즈 입는데 편하고 좋다고 하네요
"상품명: 02.페인체크 반팔세트 / 사이즈: XL(105.5~110)
체형182cm90kg상의 2XL하의 35인치원단부드러워요사이즈약간 작아요 (엉덩이)착용감편해요",5,원단 좋아요! 추천해요~!
"상품명: 02.페인체크 반팔세트 / 사이즈: L(100~105)
체형165cm55kg상의 L하의 28인치원단부드러워요사이즈잘 맞아요착용감아주 편해요",5,한달사용기재구매큰 아들이 아주 편하게 잘 입고 있어요
"상품명: 04.오리엔탈 반팔세트 / 사이즈: L(100~105)
사이즈잘 맞아요착용감편해요원단보통이에요",5,한달사용기잘 사용하고 있습니다^^
"상품명: 03.셰퍼드체크 반팔세트 / 사이즈: M(95)
사이즈잘 맞아요착용감편해요원단보통이에요",5,"순면이라서 착용감도 좋고,
디자인도 예쁩니다"
"상품명: 05.블럭ST 반팔세트 / 사이즈: L(100~105)
원단부드러워요사이즈잘 맞아요착용감편해요",5,잘 받았습니다. 감사합니다!
"상품명: 02.페인체크 반팔세트 / 사이즈: L(100~105)
체형164cm60kg상의 M하의 28인치원단부드러워요사이즈잘 맞아요착용감편해요",5,재구매질감도 좋고 디자인도 좋고 아들이 좋아합니다
"상품명: 05.블럭ST 반팔세트 / 사이즈: L(100~105)
사이즈잘 맞아요착용감편해요원단보통이에요",5,수면 잠옷은 계속 여기서 구매합니다. 재질과 모양 너무나 맘에듭니다. 정사이즈에 아주 편합니다.
"상품명: 08.리본오리 반팔세트 / 사이즈: L(100~105)
체형164cm60kg상의 M하의 28인치원단부드러워요사이즈잘 맞아요착용감아주 편해요",5,한달사용기둘째 아들이  이 옷은 정말 잘 입고  좋아합니다
"상품명: 02.페인체크 반팔세트 / 사이즈: XL(105.5~110)
원단부드러워요사이즈잘 맞아요착용감아주 편해요",5,사이즈도 넉넉하고 소재도 부그러워요 마감도 잘 되어있고요
"상품명: 12.클래식블루 반팔세트 / 사이즈: XL(105.5~110)
원단부드러워요사이즈잘 맞아요착용감편해요",5,재구매저번에 잠옷 시켰었는데 만족스러워서 여기서 한번 더 구매했습니다
"상품명: 07.퍼플블루ST 반팔세트 / 사이즈: XL(105.5~110)
사이즈약간 커요착용감편해요원단보통이에요",4,아직 입기전이지만 좋아요~~!
"상품명: 12.클래식블루 반팔세트 / 사이즈: XL(105.5~110)
원단부드러워요사이즈잘 맞아요 (가슴)착용감아주 편해요",5,"신랑한테 너무잘맞고 색상도 이쁘고
부드러워요"
"상품명: 15.마이펫 반팔세트 / 사이즈: L(100~105)
사이즈잘 맞아요착용감아주 편해요원단보통이에요",5,늘 구입하는 잠옷입니다~^^
"상품명: 05.블럭ST 반팔세트 / 사이즈: XL(105.5~110)
체형179cm94kg상의 XL하의 35인치원단부드러워요사이즈잘 맞아요착용감아주 편해요",5,"남편 잠옷으로 주문했는데 몸에
달라붙지도 않고 편하고 좋다고 합니다
다른 디자인으로 더 주문하겠습니다 감사합니다"
"상품명: 03.셰퍼드체크 반팔세트 / 사이즈: XL(105.5~110)
원단부드러워요사이즈잘 맞아요착용감편해요",5,한달사용기남편 최애 잠옷이예요
"상품명: 05.블럭ST 반팔세트 / 사이즈: XL(105.5~110)
원단부드러워요사이즈잘 맞아요착용감편해요",5,순면여서 부드럽고 편해서 재구매할 의향있습니다.
"상품명: 08.리본오리 반팔세트 / 사이즈: L(100~105)
체형162cm60kg상의 M하의 30인치원단부드러워요사이즈잘 맞아요착용감아주 편해요",5,"둘째 아들이 겨울에 입으려고 샀는데
예쁘고 입어보니 굉장히 편하다고 잘 입습니다~"
"상품명: 05.블럭ST 반팔세트 / 사이즈: XL(105.5~110)
사이즈많이 커요착용감편해요원단보통이에요",5,매일만족하며 씁니다!!
"상품명: 11.클래식그레이 반팔세트 / 사이즈: L(100~105)
체형170cm69kg상의 M하의 31인치사이즈잘 맞아요착용감아주 편해요원단보통이에요",5,한달사용기잘때에도 거슬리지 않고 편안하게 잘 수 있어서 너무 좋습니다.
"상품명: 05.블럭ST 반팔세트 / 사이즈: XL(105.5~110)
원단부드러워요사이즈잘 맞아요착용감아주 편해요",5,한달사용기재구매한달 지났는데도 여전히 편하고 좋아요. 아주 만족합니다.
"상품명: 07.퍼플블루ST 반팔세트 / 사이즈: XL(105.5~110)
체형172cm83kg상의 XL원단부드러워요사이즈잘 맞아요착용감편해요",5,얇고 편한 잠옷 필요해서 구매했는데 만족합니다.
"상품명: 03.셰퍼드체크 반팔세트 / 사이즈: L(100~105)
사이즈잘 맞아요착용감편해요원단보통이에요",5,마음에 들어요 굿굿
"상품명: 03.셰퍼드체크 반팔세트 / 사이즈: XL(105.5~110)
사이즈잘 맞아요착용감편해요원단보통이에요",5,재구매마음에 들어요 굿!
"상품명: 05.블럭ST 반팔세트 / 사이즈: M(95)
체형180cm103kg상의 XXS원단부드러워요사이즈잘 맞아요착용감아주 편해요",5,신행올때 커플로구매했어요 너무~~잘입고있어용
"상품명: 05.블럭ST 반팔세트 / 사이즈: XL(105.5~110)
체형180cm103kg상의 XXS원단부드러워요사이즈잘 맞아요착용감편해요",5,신혼여행가서 입으려구요 배송빨리해줘서고마워요♡
"상품명: 03.셰퍼드체크 반팔세트 / 사이즈: XL(105.5~110)
원단부드러워요사이즈잘 맞아요착용감편해요",5,한달사용기선물해줬는데 너무 좋대요. 제 잠옷도 다음에 여기서 구매하려구요.
"상품명: 04.오리엔탈 반팔세트 / 사이즈: L(100~105)
원단부드러워요사이즈잘 맞아요착용감아주 편해요",5,마음에 들어여 잘 입을게요
"상품명: 09.네이비ST 반팔세트 / 사이즈: L(100~105)
원단부드러워요사이즈잘 맞아요착용감아주 편해요",5,"메이플라워 잠옷 두번째 구매에요!
남자 잠옷 디자인 더 많이 늘려주세요ㅎㅎ
부드럽구 너무 조아요"
"상품명: 01.윈도우체크 반팔세트 / 사이즈: L(100~105)
원단부드러워요사이즈잘 맞아요착용감편해요",5,아부지가 여행가서 입으신다고 샀어요
"상품명: 09.네이비ST 반팔세트 / 사이즈: L(100~105)
원단부드러워요사이즈잘 맞아요착용감편해요",5,"배송도 빠르고 원단이 얇고 부드러워서 좋아요
착용감도 편안해서 좋아요"
"상품명: 10.진퍼플ST 반팔세트 / 사이즈: L(100~105)
원단부드러워요사이즈잘 맞아요착용감편해요",5,배송도 빠르고 원단이 얇고부드러워서 좋아요 착용감도 편해서 좋아요
"상품명: 14.테디베어 반팔세트 / 사이즈: L(100~105)
체형185cm64kg상의 L하의 33인치원단부드러워요사이즈잘 맞아요착용감아주 편해요",5,한달사용기다시 구매하고 싶어요
"상품명: 03.셰퍼드체크 반팔세트 / 사이즈: L(100~105)
원단부드러워요사이즈잘 맞아요 (팔 둘레)착용감아주 편해요",5,"한달사용기앞으로 여름 잠옷은 여기 정착입니다
얇은데 탄탄하고 시원해요
디테일 바느질 꼼꼼하고 퀄리티 좋아요"
"상품명: 09.네이비ST 반팔세트 / 사이즈: L(100~105)
원단부드러워요사이즈잘 맞아요착용감아주 편해요",5,
